,brand,tv_type,resolution,resolution_type,x_resolution,y_resolution,screen_size,processor_core,processor_ram,processor_inbuilt_storage,num_speakers,speaker_output,hd,has_wifi,has_ethernet,is_smart,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports,rating,price
591,panasonic,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,3.0,2.0,81.0,285990.0
592,alt,led,Full HD,missing,1920,1080,43.0,,,,2.0,20.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,1.0,49.0,15999.0
593,samsung,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,72.0,94990.0
594,panasonic,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,65.0,32990.0
595,panasonic,led,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,68.0,47990.0
596,samsung,led,4K Resolution,4K Resolution,3840,2160,70.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,72.0,102990.0
597,infinix,led,Full HD,missing,1920,1080,43.0,,1.0,8.0,2.0,20.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,55.0,16999.0
598,samsung,qled,8K Resolution,8K Resolution,7680,4320,65.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,3.0,87.0,294990.0
599,samsung,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,,4.0,70.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,82.0,262490.0
600,samsung,qled,4K Resolution,4K Resolution,3840,2160,85.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,82.0,654990.0
601,samsung,qled,4K Resolution,4K Resolution,3840,2160,75.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,80.0,439990.0
